Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
160325;33134;1104;68;104;93;14;Савёловский;LINESTRING (37.559727 55.799182, 37.559853 55.799227);POINT (37.5598 55.7992);myData.biz;55.799182;37.559727;55.799227;37.559853
160326;12341;411;25;39;34;5;Савёловский;LINESTRING (37.561019 55.798139, 37.561504 55.797701);POINT (37.5613 55.7979);myData.biz;55.798139;37.561019;55.797701;37.561504
160327;12341;411;25;39;34;5;Савёловский;LINESTRING (37.561504 55.797701, 37.562211 55.797048);POINT (37.5619 55.7974);myData.biz;55.797701;37.561504;55.797048;37.562211
160328;39621;1320;82;125;112;17;Савёловский;LINESTRING (37.561162 55.800147, 37.561281 55.800187);POINT (37.5612 55.8002);myData.biz;55.800147;37.561162;55.800187;37.561281
160329;28580;952;59;90;80;12;Савёловский;LINESTRING (37.561281 55.800187, 37.561353 55.800265);POINT (37.5613 55.8002);myData.biz;55.800187;37.561281;55.800265;37.561353
160330;21670;722;44;68;61;9;Савёловский;LINESTRING (37.561353 55.800265, 37.561635 55.800562);POINT (37.5615 55.8004);myData.biz;55.800265;37.561353;55.800562;37.561635
160331;62668;2088;129;198;177;27;Савёловский;LINESTRING (37.561635 55.800562, 37.562624 55.800864);POINT (37.5621 55.8007);myData.biz;55.800562;37.561635;55.800864;37.562624
160332;63058;2101;130;199;178;27;Савёловский;LINESTRING (37.562624 55.800864, 37.562556 55.800933);POINT (37.5626 55.8009);myData.biz;55.800864;37.562624;55.800933;37.562556
160333;63058;2101;130;199;178;27;Савёловский;LINESTRING (37.562556 55.800933, 37.562896 55.801036);POINT (37.5627 55.801);myData.biz;55.800933;37.562556;55.801036;37.562896
160334;63058;2101;130;199;178;27;Савёловский;LINESTRING (37.562896 55.801036, 37.562841 55.801093);POINT (37.5629 55.8011);myData.biz;55.801036;37.562896;55.801093;37.562841
160336;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.578345 55.798108, 37.578318 55.798557);POINT (37.5783 55.7983);myData.biz;55.798108;37.578345;55.798557;37.578318
160337;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.578318 55.798557, 37.57891 55.798572);POINT (37.5786 55.7986);myData.biz;55.798557;37.578318;55.798572;37.57891
160338;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.57891 55.798572, 37.57897 55.798582);POINT (37.5789 55.7986);myData.biz;55.798572;37.57891;55.798582;37.57897
160339;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.57897 55.798582, 37.579065 55.798598);POINT (37.579 55.7986);myData.biz;55.798582;37.57897;55.798598;37.579065
160340;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.579065 55.798598, 37.579143 55.798693);POINT (37.5791 55.7986);myData.biz;55.798598;37.579065;55.798693;37.579143
160341;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.579143 55.798693, 37.579212 55.798776);POINT (37.5792 55.7987);myData.biz;55.798693;37.579143;55.798776;37.579212
160342;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.579212 55.798776, 37.57921 55.798829);POINT (37.5792 55.7988);myData.biz;55.798776;37.579212;55.798829;37.57921
160343;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.57921 55.798829, 37.579107 55.798897);POINT (37.5792 55.7989);myData.biz;55.798829;37.57921;55.798897;37.579107
160344;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.579107 55.798897, 37.579089 55.798908);POINT (37.5791 55.7989);myData.biz;55.798897;37.579107;55.798908;37.579089
160345;32146;1071;66;101;91;13;Савёловский;LINESTRING (37.579089 55.798908, 37.579289 55.799027);POINT (37.5792 55.799);myData.biz;55.798908;37.579089;55.799027;37.579289
160347;25861;862;53;81;73;11;Савёловский;LINESTRING (37.578181 55.793726, 37.579172 55.793789);POINT (37.5787 55.7938);myData.biz;55.793726;37.578181;55.793789;37.579172
160348;25861;862;53;81;73;11;Савёловский;LINESTRING (37.579172 55.793789, 37.57934 55.7938);POINT (37.5793 55.7938);myData.biz;55.793789;37.579172;55.7938;37.57934
160349;30172;1005;62;95;85;13;Савёловский;LINESTRING (37.57934 55.7938, 37.579551 55.79381);POINT (37.5794 55.7938);myData.biz;55.7938;37.57934;55.79381;37.579551
160350;30172;1005;62;95;85;13;Савёловский;LINESTRING (37.579551 55.79381, 37.579658 55.793843);POINT (37.5796 55.7938);myData.biz;55.79381;37.579551;55.793843;37.579658
160351;29213;973;60;92;82;12;Савёловский;LINESTRING (37.579658 55.793843, 37.580834 55.793925);POINT (37.5802 55.7939);myData.biz;55.793843;37.579658;55.793925;37.580834
160352;28840;961;59;91;81;12;Савёловский;LINESTRING (37.580834 55.793925, 37.580964 55.793879);POINT (37.5809 55.7939);myData.biz;55.793925;37.580834;55.793879;37.580964
160353;2094;69;4;6;5;0;Савёловский;LINESTRING (37.580964 55.793879, 37.58148 55.79393);POINT (37.5812 55.7939);myData.biz;55.793879;37.580964;55.79393;37.58148
160355;36880;1229;76;116;104;15;Савёловский;LINESTRING (37.581669 55.80137, 37.581796 55.801378);POINT (37.5817 55.8014);myData.biz;55.80137;37.581669;55.801378;37.581796
160356;38882;1296;80;123;110;16;Савёловский;LINESTRING (37.581796 55.801378, 37.581762 55.801632);POINT (37.5818 55.8015);myData.biz;55.801378;37.581796;55.801632;37.581762
