Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
257431;21139;704;43;66;59;9;Южное Медведково;LINESTRING (37.651131 55.876213, 37.650848 55.876242);POINT (37.651 55.8762);myData.biz;55.876213;37.651131;55.876242;37.650848
257432;21139;704;43;66;59;9;Южное Медведково;LINESTRING (37.650848 55.876242, 37.650794 55.8763);POINT (37.6508 55.8763);myData.biz;55.876242;37.650848;55.8763;37.650794
257433;21139;704;43;66;59;9;Южное Медведково;LINESTRING (37.650794 55.8763, 37.650883 55.876609);POINT (37.6508 55.8765);myData.biz;55.8763;37.650794;55.876609;37.650883
257434;80859;2695;167;256;229;35;Южное Медведково;LINESTRING (37.650883 55.876609, 37.650565 55.87664);POINT (37.6507 55.8766);myData.biz;55.876609;37.650883;55.87664;37.650565
257435;79075;2635;163;250;223;34;Южное Медведково;LINESTRING (37.650565 55.87664, 37.64816 55.876885);POINT (37.6494 55.8768);myData.biz;55.87664;37.650565;55.876885;37.64816
257436;36100;1203;74;114;102;15;Южное Медведково;LINESTRING (37.64816 55.876885, 37.648329 55.877295);POINT (37.6482 55.8771);myData.biz;55.876885;37.64816;55.877295;37.648329
257439;114935;3831;238;363;325;49;Южное Медведково;LINESTRING (37.619591 55.875315, 37.619015 55.87516);POINT (37.6193 55.8752);myData.biz;55.875315;37.619591;55.87516;37.619015
257440;114935;3831;238;363;325;49;Южное Медведково;LINESTRING (37.619015 55.87516, 37.61877 55.875097);POINT (37.6189 55.8751);myData.biz;55.87516;37.619015;55.875097;37.61877
257441;23546;784;48;74;66;10;Южное Медведково;LINESTRING (37.61877 55.875097, 37.618427 55.875455);POINT (37.6186 55.8753);myData.biz;55.875097;37.61877;55.875455;37.618427
257442;23546;784;48;74;66;10;Южное Медведково;LINESTRING (37.618427 55.875455, 37.618099 55.875491);POINT (37.6183 55.8755);myData.biz;55.875455;37.618427;55.875491;37.618099
257443;26402;880;54;83;74;11;Южное Медведково;LINESTRING (37.618099 55.875491, 37.618125 55.875547);POINT (37.6181 55.8755);myData.biz;55.875491;37.618099;55.875547;37.618125
257444;26402;880;54;83;74;11;Южное Медведково;LINESTRING (37.618125 55.875547, 37.618057 55.875709);POINT (37.6181 55.8756);myData.biz;55.875547;37.618125;55.875709;37.618057
257447;53200;1773;110;168;150;23;Южное Медведково;LINESTRING (37.646095 55.874859, 37.646034 55.875065);POINT (37.6461 55.875);myData.biz;55.874859;37.646095;55.875065;37.646034
257448;34521;1150;71;109;97;14;Южное Медведково;LINESTRING (37.646034 55.875065, 37.646597 55.875115);POINT (37.6463 55.8751);myData.biz;55.875065;37.646034;55.875115;37.646597
257449;22943;764;47;72;64;9;Южное Медведково;LINESTRING (37.646597 55.875115, 37.646836 55.8752);POINT (37.6467 55.8752);myData.biz;55.875115;37.646597;55.8752;37.646836
257450;22660;755;46;71;64;9;Южное Медведково;LINESTRING (37.646836 55.8752, 37.646614 55.876022);POINT (37.6467 55.8756);myData.biz;55.8752;37.646836;55.876022;37.646614
257451;22660;755;46;71;64;9;Южное Медведково;LINESTRING (37.646614 55.876022, 37.646471 55.876079);POINT (37.6465 55.8761);myData.biz;55.876022;37.646614;55.876079;37.646471
257452;41254;1375;85;130;116;17;Южное Медведково;LINESTRING (37.646471 55.876079, 37.646264 55.87678);POINT (37.6464 55.8764);myData.biz;55.876079;37.646471;55.87678;37.646264
257453;37005;1233;76;117;104;16;Южное Медведково;LINESTRING (37.646264 55.87678, 37.647496 55.876671);POINT (37.6469 55.8767);myData.biz;55.87678;37.646264;55.876671;37.647496
257454;28933;964;59;91;81;12;Южное Медведково;LINESTRING (37.647496 55.876671, 37.648 55.876617);POINT (37.6477 55.8766);myData.biz;55.876671;37.647496;55.876617;37.648
257455;39878;1329;82;126;112;17;Южное Медведково;LINESTRING (37.648 55.876617, 37.648197 55.876773);POINT (37.6481 55.8767);myData.biz;55.876617;37.648;55.876773;37.648197
257456;39878;1329;82;126;112;17;Южное Медведково;LINESTRING (37.648197 55.876773, 37.648205 55.876833);POINT (37.6482 55.8768);myData.biz;55.876773;37.648197;55.876833;37.648205
257457;39878;1329;82;126;112;17;Южное Медведково;LINESTRING (37.648205 55.876833, 37.64816 55.876885);POINT (37.6482 55.8769);myData.biz;55.876833;37.648205;55.876885;37.64816
257473;82342;2744;170;260;233;35;Южное Медведково;LINESTRING (37.646384 55.873951, 37.646756 55.872694);POINT (37.6466 55.8733);myData.biz;55.873951;37.646384;55.872694;37.646756
257474;73478;2449;152;232;208;31;Южное Медведково;LINESTRING (37.646756 55.872694, 37.646803 55.872535);POINT (37.6468 55.8726);myData.biz;55.872694;37.646756;55.872535;37.646803
257475;84799;2826;175;268;240;36;Южное Медведково;LINESTRING (37.646803 55.872535, 37.646859 55.872344);POINT (37.6468 55.8724);myData.biz;55.872535;37.646803;55.872344;37.646859
257476;123591;4119;255;391;350;53;Южное Медведково;LINESTRING (37.646859 55.872344, 37.647032 55.872347);POINT (37.6469 55.8723);myData.biz;55.872344;37.646859;55.872347;37.647032
257477;95921;3197;198;303;271;41;Южное Медведково;LINESTRING (37.647032 55.872347, 37.647544 55.872355);POINT (37.6473 55.8724);myData.biz;55.872347;37.647032;55.872355;37.647544
257478;113575;3785;235;359;321;49;Южное Медведково;LINESTRING (37.647544 55.872355, 37.64755 55.872332);POINT (37.6475 55.8723);myData.biz;55.872355;37.647544;55.872332;37.64755
257479;98334;3277;203;311;278;42;Южное Медведково;LINESTRING (37.64755 55.872332, 37.648819 55.872362);POINT (37.6482 55.8723);myData.biz;55.872332;37.64755;55.872362;37.648819
257480;106835;3561;221;338;302;46;Южное Медведково;LINESTRING (37.648819 55.872362, 37.649235 55.87226);POINT (37.649 55.8723);myData.biz;55.872362;37.648819;55.87226;37.649235
257481;86859;2895;179;275;246;37;Южное Медведково;LINESTRING (37.649235 55.87226, 37.649182 55.872096);POINT (37.6492 55.8722);myData.biz;55.87226;37.649235;55.872096;37.649182
257482;31887;1062;65;100;90;13;Южное Медведково;LINESTRING (37.649182 55.872096, 37.649181 55.871887);POINT (37.6492 55.872);myData.biz;55.872096;37.649182;55.871887;37.649181
257483;31887;1062;65;100;90;13;Южное Медведково;LINESTRING (37.649181 55.871887, 37.650232 55.871827);POINT (37.6497 55.8719);myData.biz;55.871887;37.649181;55.871827;37.650232
257484;88302;2943;182;279;250;38;Южное Медведково;LINESTRING (37.650232 55.871827, 37.651166 55.87174);POINT (37.6507 55.8718);myData.biz;55.871827;37.650232;55.87174;37.651166
257485;62124;2070;128;196;175;26;Южное Медведково;LINESTRING (37.651166 55.87174, 37.65226 55.871596);POINT (37.6517 55.8717);myData.biz;55.87174;37.651166;55.871596;37.65226
257486;70161;2338;145;222;198;30;Южное Медведково;LINESTRING (37.65226 55.871596, 37.652215 55.871495);POINT (37.6522 55.8715);myData.biz;55.871596;37.65226;55.871495;37.652215
257487;53337;1777;110;168;151;23;Южное Медведково;LINESTRING (37.652215 55.871495, 37.652478 55.871463);POINT (37.6523 55.8715);myData.biz;55.871495;37.652215;55.871463;37.652478
257488;86340;2878;178;273;244;37;Южное Медведково;LINESTRING (37.652478 55.871463, 37.654182 55.871212);POINT (37.6533 55.8713);myData.biz;55.871463;37.652478;55.871212;37.654182
257489;86340;2878;178;273;244;37;Южное Медведково;LINESTRING (37.654182 55.871212, 37.655602 55.870992);POINT (37.6549 55.8711);myData.biz;55.871212;37.654182;55.870992;37.655602
257496;839;27;1;2;2;0;Южное Медведково;LINESTRING (37.633661 55.883857, 37.635267 55.883864);POINT (37.6345 55.8839);myData.biz;55.883857;37.633661;55.883864;37.635267
257497;1308;43;2;4;3;0;Южное Медведково;LINESTRING (37.635267 55.883864, 37.63658 55.884304);POINT (37.6359 55.8841);myData.biz;55.883864;37.635267;55.884304;37.63658
257498;12208;406;25;38;34;5;Южное Медведково;LINESTRING (37.63658 55.884304, 37.636585 55.884432);POINT (37.6366 55.8844);myData.biz;55.884304;37.63658;55.884432;37.636585
257499;12208;406;25;38;34;5;Южное Медведково;LINESTRING (37.636585 55.884432, 37.636924 55.884607);POINT (37.6368 55.8845);myData.biz;55.884432;37.636585;55.884607;37.636924
257500;9576;319;19;30;27;4;Южное Медведково;LINESTRING (37.636924 55.884607, 37.63923 55.884385);POINT (37.6381 55.8845);myData.biz;55.884607;37.636924;55.884385;37.63923
257501;9576;319;19;30;27;4;Южное Медведково;LINESTRING (37.63923 55.884385, 37.64019 55.884292);POINT (37.6397 55.8843);myData.biz;55.884385;37.63923;55.884292;37.64019
257504;839;27;1;2;2;0;Южное Медведково;LINESTRING (37.632382 55.881605, 37.63235 55.881663);POINT (37.6324 55.8816);myData.biz;55.881605;37.632382;55.881663;37.63235
257505;839;27;1;2;2;0;Южное Медведково;LINESTRING (37.63235 55.881663, 37.632337 55.882027);POINT (37.6323 55.8818);myData.biz;55.881663;37.63235;55.882027;37.632337
257506;839;27;1;2;2;0;Южное Медведково;LINESTRING (37.632337 55.882027, 37.632396 55.882391);POINT (37.6324 55.8822);myData.biz;55.882027;37.632337;55.882391;37.632396
